year,round,raceId,race_name,circuit_name,driverId,driver_name,constructorId,constructor_name,grid,position,positionOrder,milliseconds,points,status
2025,1,1123,Australian Grand Prix,Albert Park Grand Prix Circuit,832,Carlos Sainz,3,Williams,10,\N,18,\N,0.0,Retired
2025,1,1123,Australian Grand Prix,Albert Park Grand Prix Circuit,848,Alexander Albon,3,Williams,6,5,5,6137077,10.0,Finished
2025,2,1125,Chinese Grand Prix,Shanghai International Circuit,832,Carlos Sainz,3,Williams,15,10,10,5531413,1.0,Finished
2025,2,1125,Chinese Grand Prix,Shanghai International Circuit,848,Alexander Albon,3,Williams,10,7,7,5511347,6.0,Finished
2025,3,1124,Japanese Grand Prix,Suzuka Circuit,832,Carlos Sainz,3,Williams,15,14,14,5001112,0.0,Finished
2025,3,1124,Japanese Grand Prix,Suzuka Circuit,848,Alexander Albon,3,Williams,9,9,9,4967350,2.0,Finished
2025,4,1121,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,3,Williams,8,\N,19,\N,0.0,Retired
2025,4,1121,Bahrain Grand Prix,Bahrain International Circuit,848,Alexander Albon,3,Williams,15,12,12,5788274,0.0,Finished
2025,5,1122,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,832,Carlos Sainz,3,Williams,6,8,8,4931388,4.0,Finished
2025,5,1122,Saudi Arabian Grand Prix,Jeddah Corniche Circuit,848,Alexander Albon,3,Williams,11,9,9,4933273,2.0,Finished
