year,round,raceId,race_name,circuit_name,driverId,driver_name,constructorId,constructor_name,grid,position,positionOrder,milliseconds,points,status
2015,1,926,Australian Grand Prix,Albert Park Grand Prix Circuit,832,Carlos Sainz,5,Toro Rosso,7,9,9,\N,2.0,+1 Lap
2015,2,927,Malaysian Grand Prix,Sepang International Circuit,832,Carlos Sainz,5,Toro Rosso,15,8,8,\N,4.0,+1 Lap
2015,3,928,Chinese Grand Prix,Shanghai International Circuit,832,Carlos Sainz,5,Toro Rosso,14,13,13,\N,0.0,+1 Lap
2015,4,929,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,5,Toro Rosso,9,\N,19,\N,0.0,Engine
2015,5,930,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,5,Toro Rosso,5,9,9,\N,2.0,+1 Lap
2015,6,931,Monaco Grand Prix,Circuit de Monaco,832,Carlos Sainz,5,Toro Rosso,0,10,10,6583476,1.0,Finished
2015,7,932,Canadian Grand Prix,Circuit Gilles Villeneuve,832,Carlos Sainz,5,Toro Rosso,11,12,12,\N,0.0,+1 Lap
2015,8,933,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,5,Toro Rosso,12,\N,16,\N,0.0,Power loss
2015,9,934,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,5,Toro Rosso,8,\N,14,\N,0.0,Electrical
2015,10,936,Hungarian Grand Prix,Hungaroring,832,Carlos Sainz,5,Toro Rosso,12,\N,17,\N,0.0,Electrical
2015,11,937,Belgian Grand Prix,Circuit de Spa-Francorchamps,832,Carlos Sainz,5,Toro Rosso,10,\N,17,\N,0.0,Power Unit
2015,12,938,Italian Grand Prix,Autodromo Nazionale di Monza,832,Carlos Sainz,5,Toro Rosso,17,11,11,\N,0.0,+1 Lap
2015,13,939,Singapore Grand Prix,Marina Bay Street Circuit,832,Carlos Sainz,5,Toro Rosso,14,9,9,7334978,2.0,Finished
2015,14,940,Japanese Grand Prix,Suzuka Circuit,832,Carlos Sainz,5,Toro Rosso,10,10,10,\N,1.0,+1 Lap
2015,15,941,Russian Grand Prix,Sochi Autodrom,832,Carlos Sainz,5,Toro Rosso,20,\N,16,\N,0.0,Brakes
2015,16,942,United States Grand Prix,Circuit of the Americas,832,Carlos Sainz,5,Toro Rosso,20,7,7,6683322,6.0,Finished
2015,17,943,Mexican Grand Prix,Autódromo Hermanos Rodríguez,832,Carlos Sainz,5,Toro Rosso,11,13,13,6203810,0.0,Finished
2015,18,944,Brazilian Grand Prix,Autódromo José Carlos Pace,832,Carlos Sainz,5,Toro Rosso,10,\N,19,\N,0.0,Retired
2015,19,945,Abu Dhabi Grand Prix,Yas Marina Circuit,832,Carlos Sainz,5,Toro Rosso,10,11,11,6013700,0.0,Finished
2016,1,948,Australian Grand Prix,Albert Park Grand Prix Circuit,832,Carlos Sainz,5,Toro Rosso,7,9,9,6571245,2.0,Finished
2016,2,949,Bahrain Grand Prix,Bahrain International Circuit,832,Carlos Sainz,5,Toro Rosso,11,\N,18,\N,0.0,Retired
2016,3,950,Chinese Grand Prix,Shanghai International Circuit,832,Carlos Sainz,5,Toro Rosso,8,9,9,6018018,2.0,Finished
2016,4,951,Russian Grand Prix,Sochi Autodrom,832,Carlos Sainz,5,Toro Rosso,11,12,12,\N,0.0,+1 Lap
2016,5,952,Spanish Grand Prix,Circuit de Barcelona-Catalunya,832,Carlos Sainz,5,Toro Rosso,8,6,6,6161412,8.0,Finished
2016,6,953,Monaco Grand Prix,Circuit de Monaco,832,Carlos Sainz,5,Toro Rosso,6,8,8,\N,4.0,+1 Lap
2016,7,954,Canadian Grand Prix,Circuit Gilles Villeneuve,832,Carlos Sainz,5,Toro Rosso,20,9,9,\N,2.0,+1 Lap
2016,8,955,European Grand Prix,Baku City Circuit,832,Carlos Sainz,5,Toro Rosso,18,\N,21,\N,0.0,Suspension
2016,9,956,Austrian Grand Prix,Red Bull Ring,832,Carlos Sainz,5,Toro Rosso,15,8,8,5305507,4.0,Finished
2016,10,957,British Grand Prix,Silverstone Circuit,832,Carlos Sainz,5,Toro Rosso,7,8,8,5781689,4.0,Finished
2016,11,958,Hungarian Grand Prix,Hungaroring,832,Carlos Sainz,5,Toro Rosso,6,8,8,\N,4.0,+1 Lap
2016,12,959,German Grand Prix,Hockenheimring,832,Carlos Sainz,5,Toro Rosso,15,14,14,\N,0.0,+1 Lap
2016,13,960,Belgian Grand Prix,Circuit de Spa-Francorchamps,832,Carlos Sainz,5,Toro Rosso,14,\N,20,\N,0.0,Puncture
2016,14,961,Italian Grand Prix,Autodromo Nazionale di Monza,832,Carlos Sainz,5,Toro Rosso,15,15,15,\N,0.0,+1 Lap
2016,15,962,Singapore Grand Prix,Marina Bay Street Circuit,832,Carlos Sainz,5,Toro Rosso,6,14,14,\N,0.0,+1 Lap
2016,16,963,Malaysian Grand Prix,Sepang International Circuit,832,Carlos Sainz,5,Toro Rosso,16,11,11,5931654,0.0,Finished
2016,17,964,Japanese Grand Prix,Suzuka Circuit,832,Carlos Sainz,5,Toro Rosso,14,17,17,\N,0.0,+1 Lap
2016,18,965,United States Grand Prix,Circuit of the Americas,832,Carlos Sainz,5,Toro Rosso,10,6,6,5988742,8.0,Finished
2016,19,966,Mexican Grand Prix,Autódromo Hermanos Rodríguez,832,Carlos Sainz,5,Toro Rosso,10,16,16,\N,0.0,+1 Lap
2016,20,967,Brazilian Grand Prix,Autódromo José Carlos Pace,832,Carlos Sainz,5,Toro Rosso,15,6,6,10890495,8.0,Finished
2016,21,968,Abu Dhabi Grand Prix,Yas Marina Circuit,832,Carlos Sainz,5,Toro Rosso,21,\N,18,\N,0.0,Collision damage
