year,raceId,driverId,constructorId,grid,position,milliseconds
2015,926,832,5,7,9.0,
2015,927,832,5,15,8.0,
2015,928,832,5,14,13.0,
2015,929,832,5,9,,
2015,930,832,5,5,9.0,
2015,931,832,5,0,10.0,6583476.0
2015,932,832,5,11,12.0,
2015,933,832,5,12,,
2015,934,832,5,8,,
2015,936,832,5,12,,
2015,937,832,5,10,,
2015,938,832,5,17,11.0,
2015,939,832,5,14,9.0,7334978.0
2015,940,832,5,10,10.0,
2015,941,832,5,20,,
2015,942,832,5,20,7.0,6683322.0
2015,943,832,5,11,13.0,6203810.0
2015,944,832,5,10,,
2015,945,832,5,10,11.0,6013700.0
2016,948,832,5,7,9.0,6571245.0
2016,949,832,5,11,,
2016,950,832,5,8,9.0,6018018.0
2016,951,832,5,11,12.0,
2016,952,832,5,8,6.0,6161412.0
2016,953,832,5,6,8.0,
2016,954,832,5,20,9.0,
2016,955,832,5,18,,
2016,956,832,5,15,8.0,5305507.0
2016,957,832,5,7,8.0,5781689.0
2016,958,832,5,6,8.0,
2016,959,832,5,15,14.0,
2016,960,832,5,14,,
2016,961,832,5,15,15.0,
2016,962,832,5,6,14.0,
2016,963,832,5,16,11.0,5931654.0
2016,964,832,5,14,17.0,
2016,965,832,5,10,6.0,5988742.0
2016,966,832,5,10,16.0,
2016,967,832,5,15,6.0,10890495.0
2016,968,832,5,21,,
2017,969,832,5,8,8.0,
2017,970,832,5,11,7.0,5929051.0
2017,971,832,5,16,,
2017,972,832,5,14,10.0,
2017,973,832,5,12,7.0,
2017,974,832,5,6,6.0,6296378.0
2017,975,832,5,13,,
2017,976,832,5,15,8.0,7484973.0
2017,977,832,5,10,,
2017,978,832,5,13,,
2017,979,832,5,9,7.0,
2017,980,832,5,13,10.0,5122267.0
2017,981,832,5,15,14.0,
2017,982,832,5,10,4.0,7426366.0
2017,983,832,5,14,,
2017,984,832,5,19,,
2017,985,832,4,7,7.0,5723935.0
2017,986,832,4,8,,
2017,987,832,4,8,11.0,
2017,988,832,4,12,,
2018,989,832,4,9,10.0,5419005.0
